

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
10/31/2023,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,1.79,,,,-1.79,303.27,
10/31/2023,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,1.79,303.27,
10/26/2023,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,250,301.48,
10/25/2023,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,51.81,3,,,,-155.43,51.48,10/27/2023
10/20/2023,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,53.61,2,,,,-107.23,206.91,10/24/2023
10/19/2023,"YOU BOUGHT TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,217.57,0.375,,,,-81.59,314.14,10/23/2023
10/10/2023,"YOU BOUGHT SLEEP NUMBER CORP COM (SNBR) (Margin)",SNBR,"SLEEP NUMBER CORP COM",Margin,18.77,4,,,,-75.1,395.73,10/12/2023
10/05/2023,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,57.48,5,,,,-287.4,470.83,10/10/2023
09/29/2023,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,1.08,,,,-1.08,758.23,
09/29/2023,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,1.08,758.23,
09/28/2023,"YOU BOUGHT TEXAS ROADHOUSE INC (TXRH) (Margin)",TXRH,"TEXAS ROADHOUSE INC",Margin,93.8,2,,,,-187.6,757.15,10/02/2023
09/28/2023,"YOU BOUGHT TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,240.24,0.5,,,,-120.12,944.75,10/02/2023
09/28/2023,"YOU BOUGHT TELUS INTERNATIONAL (CDA) INC COM NP... (87975H100) (Margin)",87975H100,"TELUS INTERNATIONAL (CDA) INC COM NPV S",Margin,7.4,13,,,,-96.2,1064.87,10/02/2023
09/28/2023,"YOU BOUGHT REVOLVE GROUP INC CL A (RVLV) (Margin)",RVLV,"REVOLVE GROUP INC CL A",Margin,12.87,5,,,,-64.35,1161.07,10/02/2023
09/28/2023,"YOU SOLD PINTEREST INC CL A (PINS) (Margin)",PINS,"PINTEREST INC CL A",Margin,25.91,-25,,,,647.75,1225.42,10/02/2023
09/28/2023,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,57.41,1,,,,-57.41,577.67,10/02/2023
09/28/2023,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,124.08,1,,,,-124.08,635.08,10/02/2023
09/25/2023,"YOU BOUGHT TEXAS ROADHOUSE INC (TXRH) (Margin)",TXRH,"TEXAS ROADHOUSE INC",Margin,95.14,20,,,,-1902.8,759.16,09/27/2023
09/25/2023,"YOU SOLD DROPBOX, INC. CLASS A COMMON STOCK (DBX) (Margin)",DBX,"DROPBOX, INC. CLASS A COMMON STOCK",Margin,27.27,-88,,0.02,,2399.3,2661.96,09/27/2023
09/21/2023,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,125,262.66,
09/08/2023,"YOU BOUGHT REVOLVE GROUP INC CL A (RVLV) (Margin)",RVLV,"REVOLVE GROUP INC CL A",Margin,13.21,2,,,,-26.42,137.66,09/12/2023
09/07/2023,"TRANSFERRED TO VS Z27-316070-1 (Cash)", ,"No Description",Cash,,0.000,,,,-60,164.08,
08/31/2023,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.63,,,,-0.63,224.08,
08/31/2023,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.63,224.08,
08/22/2023,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Cash)",PYPL,"PAYPAL HLDGS INC COM",Cash,59.92,2,,,,-119.84,223.45,08/24/2023
08/21/2023,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,290,343.29,
08/16/2023,"YOU BOUGHT TESLA INC COM (TSLA) (Margin)",TSLA,"TESLA INC COM",Margin,228.33,0.125,,,,-28.54,53.29,08/18/2023
