

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
11/14/2025,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,63.62,2,,,,-127.24,89.72,11/17/2025
11/14/2025,"YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin)",PYPL,"PAYPAL HLDGS INC COM",Margin,63.31,1,,,,-63.31,216.96,11/17/2025
11/14/2025,"YOU SOLD NICE LTD ADR-EACH CNV INTO 1 ORD ILS1 (NICE) (Margin)",NICE,"NICE LTD ADR-EACH CNV INTO 1 ORD ILS1",Margin,131.43,-2,,,,262.85,280.27,11/17/2025
11/14/2025,"YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin)",DUOL,"DUOLINGO INC CL A COM",Margin,185.82,0.5,,,,-92.91,17.42,11/17/2025
11/14/2025,"YOU BOUGHT AMAZON.COM INC (AMZN) (Margin)",AMZN,"AMAZON.COM INC",Margin,235.15,0.5,,,,-117.58,110.33,11/17/2025
11/13/2025,"YOU BOUGHT MERCADOLIBRE INC COM USD0.001 (MELI) (Margin)",MELI,"MERCADOLIBRE INC COM USD0.001",Margin,2033.1,0.05,,,,-101.65,227.91,11/14/2025
11/13/2025,"YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin)",DUOL,"DUOLINGO INC CL A COM",Margin,185.38,1,,,,-185.38,329.56,11/14/2025
11/12/2025,"YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin)",DUOL,"DUOLINGO INC CL A COM",Margin,189.54,0.5,,,,-94.77,514.94,11/13/2025
11/10/2025,"YOU BOUGHT MERCADOLIBRE INC COM USD0.001 (MELI) (Margin)",MELI,"MERCADOLIBRE INC COM USD0.001",Margin,2072.63,0.15,,,,-310.89,609.71,11/12/2025
11/10/2025,"YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin)",DUOL,"DUOLINGO INC CL A COM",Margin,192.81,0.5,,,,-96.4,920.60,11/12/2025
11/06/2025,"FOREIGN TAX PAID ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Margin,,0.000,,,,-0.49,1017.00,
11/06/2025,"DIVIDEND RECEIVED ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin)",ASML,"ASML HOLDING NV EUR0.09 NY REGISTRY SHS",Margin,,0.000,,,,3.26,1017.49,
