META,,GOOGL,,AMZN,,PYPL,,TXRH,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/3/2023 16:00:00,124.74,1/3/2023 16:00:00,89.12,1/3/2023 16:00:00,85.82,1/3/2023 16:00:00,74.58,1/3/2023 16:00:00,93.2
1/4/2023 16:00:00,127.37,1/4/2023 16:00:00,88.08,1/4/2023 16:00:00,85.14,1/4/2023 16:00:00,77.69,1/4/2023 16:00:00,93.7
1/5/2023 16:00:00,126.94,1/5/2023 16:00:00,86.2,1/5/2023 16:00:00,83.12,1/5/2023 16:00:00,76.27,1/5/2023 16:00:00,93.75
1/6/2023 16:00:00,130.02,1/6/2023 16:00:00,87.34,1/6/2023 16:00:00,86.08,1/6/2023 16:00:00,76.48,1/6/2023 16:00:00,93.52
1/9/2023 16:00:00,129.47,1/9/2023 16:00:00,88.02,1/9/2023 16:00:00,87.36,1/9/2023 16:00:00,77.08,1/9/2023 16:00:00,97.22
1/10/2023 16:00:00,132.99,1/10/2023 16:00:00,88.42,1/10/2023 16:00:00,89.87,1/10/2023 16:00:00,77.92,1/10/2023 16:00:00,100.5
1/11/2023 16:00:00,132.89,1/11/2023 16:00:00,91.52,1/11/2023 16:00:00,95.09,1/11/2023 16:00:00,78.54,1/11/2023 16:00:00,101.09
1/12/2023 16:00:00,136.71,1/12/2023 16:00:00,91.13,1/12/2023 16:00:00,95.27,1/12/2023 16:00:00,79.78,1/12/2023 16:00:00,100.01
1/13/2023 16:00:00,136.98,1/13/2023 16:00:00,92.12,1/13/2023 16:00:00,98.12,1/13/2023 16:00:00,79.48,1/13/2023 16:00:00,100.97
1/17/2023 16:00:00,135.36,1/17/2023 16:00:00,91.29,1/17/2023 16:00:00,96.05,1/17/2023 16:00:00,80.18,1/17/2023 16:00:00,100.34
1/18/2023 16:00:00,133.02,1/18/2023 16:00:00,91.12,1/18/2023 16:00:00,95.46,1/18/2023 16:00:00,77.31,1/18/2023 16:00:00,101.14
1/19/2023 16:00:00,136.15,1/19/2023 16:00:00,93.05,1/19/2023 16:00:00,93.68,1/19/2023 16:00:00,76.75,1/19/2023 16:00:00,97.87
1/20/2023 16:00:00,139.37,1/20/2023 16:00:00,98.02,1/20/2023 16:00:00,97.25,1/20/2023 16:00:00,79.09,1/20/2023 16:00:00,98.76
1/23/2023 16:00:00,143.27,1/23/2023 16:00:00,99.79,1/23/2023 16:00:00,97.52,1/23/2023 16:00:00,79.5,1/23/2023 16:00:00,100.02
1/24/2023 16:00:00,143.14,1/24/2023 16:00:00,97.7,1/24/2023 16:00:00,96.32,1/24/2023 16:00:00,79.58,1/24/2023 16:00:00,98.84
1/25/2023 16:00:00,141.5,1/25/2023 16:00:00,95.22,1/25/2023 16:00:00,97.18,1/25/2023 16:00:00,79.1,1/25/2023 16:00:00,97.73
1/26/2023 16:00:00,147.3,1/26/2023 16:00:00,97.52,1/26/2023 16:00:00,99.22,1/26/2023 16:00:00,80.81,1/26/2023 16:00:00,99.04
1/27/2023 16:00:00,151.74,1/27/2023 16:00:00,99.37,1/27/2023 16:00:00,102.24,1/27/2023 16:00:00,81.83,1/27/2023 16:00:00,98.96
1/30/2023 16:00:00,147.06,1/30/2023 16:00:00,96.94,1/30/2023 16:00:00,100.55,1/30/2023 16:00:00,79.64,1/30/2023 16:00:00,98.97
1/31/2023 16:00:00,148.97,1/31/2023 16:00:00,98.84,1/31/2023 16:00:00,103.13,1/31/2023 16:00:00,81.49,1/31/2023 16:00:00,100.43
2/1/2023 16:00:00,153.12,2/1/2023 16:00:00,100.43,2/1/2023 16:00:00,105.15,2/1/2023 16:00:00,82.91,2/1/2023 16:00:00,101.53
